	batch4.sig126	batch4.sig127N	batch4.sig127C	batch4.sig128N	batch4.sig128C	batch4.sig129N	batch4.sig129C	batch4.sig130N	batch4.sig130C	batch4.sig131N	batch4.sig131C	batch5.sig126	batch5.sig127N	batch5.sig127C	batch5.sig128N	batch5.sig128C	batch5.sig129N	batch5.sig129C	batch5.sig130N	batch5.sig130C	batch5.sig131N	batch5.sig131C
sp|Q9QUR2|DCTN4_RAT	578749.712787532	631320.154201779	605802.911842557	610554.757495195	613038.936502005	602191.275649667	689387.624461249	653571.484133416	631160.063539474	631767.469134239	642982.815814459	686590.839200985	641593.331464308	737529.445373266	700288.129069704	715144.463998056	717401.273957862	710347.094204532	657692.362046448	742174.450177787	701965.686378326	709588.783548291
tr|G3V918|G3V918_RAT	604018.916842084	616636.571230083	628023.975318605	612714.252714097	627703.135541786	629407.607972553	507954.30367979	597411.941361736	633500.282221048	650028.455780619	601689.961370609	611334.135096029	617764.088831577	605486.784344024	611534.293715231	660532.238584759	548116.360090377	603989.427432844	642960.165261187	581922.624782515	583910.36752606	593950.633337326
sp|P63012|RAB3A_RAT	3767118.91286042	3417752.38313125	3880625.13738644	3695177.34005839	3948328.8753415	3951653.38378238	3622221.73086632	4015696.16988389	4065795.4987645	3647641.09747297	3836884.90540018	3126075.91925058	3079761.84792136	3081963.85720671	3077199.49671206	3070102.74090517	3120831.04391761	3315239.59433838	2909583.47628129	3056583.14519589	2940672.21396879	3132691.71278747
sp|P07825|SYPH_RAT	10990135.4986246	10844868.4472286	9982221.96185369	10868079.2118184	11169544.5773206	11096288.7668149	10866273.865129	11622584.3838833	10268904.5004993	10583982.7793234	10193779.0129822	12426237.9695859	12493360.4368027	12326299.6632121	12653706.6525369	11506184.2159463	12780559.8999596	13014263.4418351	11135717.6830356	12091069.2924633	12076011.9161827	12950027.116238
sp|Q5BK32|FAF2_RAT	260026.687702502	257480.675553634	258825.051039908	267224.334931884	256777.209076075	258162.053143592	241031.927493708	275082.839427768	251798.301963744	250954.335309558	256163.23108729	271954.04672708	282418.768306403	274395.410182265	280686.40399887	281355.935286576	259285.480875648	259782.166700366	275837.054465253	260926.526290458	258095.209062375	286666.387656698
tr|D4AEI6|D4AEI6_RAT	10890.0860659079	9745.91575172421	11573.2751189334	10805.7154713876	8205.16941835032	10121.8056494657	14032.6479617262	12127.1077941913	12475.3698644389	10655.9410367895	10352.4518897718	10901.4727255773	10901.4727255773	10901.4727255773	10901.4727255773	10901.4727255773	10901.4727255773	10901.4727255773	10901.4727255773	10901.4727255773	10901.4727255773	10901.4727255773
tr|B1WC06|B1WC06_RAT	96565.6577154131	106288.967771899	97792.5568303712	90197.1148295645	101119.383979686	104592.597483493	91510.7981605172	98639.5397315978	109116.708281965	103652.950372174	99488.3649678584	59922.3850669868	63227.9034611377	65949.6013490728	63249.9619962585	66589.4932956986	71201.7318961312	67972.66455519	69124.6581365951	59605.2047153466	62915.2888192015	71370.5537077453
tr|D4AD89|D4AD89_RAT	251515.672134687	242069.638100184	243111.124888494	254243.063632429	253581.772430519	243797.192132135	248196.073453395	245523.553345222	241192.512692714	207205.023509491	246088.42291839	144327.046060048	143012.721054939	155387.191597557	150829.615967258	142985.963536487	150842.251464021	147408.138806562	142105.19506339	152346.788593639	148771.741711028	150163.863155545
sp|O35795|ENTP2_RAT	108990.664842218	121535.259737337	100275.506777398	104024.525725409	109388.613761712	117526.46390139	118086.730020957	101954.40986575	106483.431564899	120587.656450098	116597.751633467	136240.762766159	138413.524925402	173000.750111422	151069.795578784	145624.305250997	160995.942768455	158866.022472708	141751.780630694	151410.794952054	155104.419630071	163788.046599214
tr|Q6AYE0|Q6AYE0_RAT	29344.4862159573	30840.5465327589	29265.604562148	24922.5678195276	27409.8174334186	27275.0778060255	33429.7495301027	30406.760065817	23216.1114695714	26410.6537721514	29280.3626642066	26875.3889713481	27781.3924326611	22646.3430967977	20315.8198145805	19640.6391444962	22276.3964349367	24693.2329764074	21097.5575926784	24011.1757582486	21143.1825867442	21474.6520108516
tr|B2RZD0|B2RZD0_RAT	326937.749612741	354364.555106967	323938.412040518	325826.123752981	308262.530529698	327941.698644831	348962.239533759	310697.012492533	259999.498181001	286576.054591754	307346.238417238	256897.511939792	263595.832867789	214166.932981782	246361.108317201	222240.018365225	267712.630236901	252395.039970899	239446.981573247	227168.018965922	245812.8197849	268073.715753635
sp|P05506|NU3M_RAT	64617.2320110537	57796.3942892438	73771.4877180602	62026.488102142	79922.6315320704	69768.2083738738	90148.7908179685	58748.2735586713	92299.5485738923	49564.6183146123	76447.7505489555	40089.0714340778	34055.8417794457	32364.2283108256	24192.8200411817	33479.4556553438	24915.4494866457	36118.1249774255	27992.6476170076	31246.1882704523	24347.2242701432	33411.8104691364
sp|Q5U2U0|CLPX_RAT	176901.580840792	169815.177765604	182859.417953207	168328.640152578	159432.663576878	158188.560367444	161814.201856509	200765.146826726	176022.494506283	172138.88865967	171056.812412019	115036.55136435	126129.824566286	106821.310565904	113855.417638331	114537.909073888	103394.861575377	106054.960116926	112201.718823246	97393.7409002819	95222.2077178578	109116.40672915
sp|Q63942|RAB3D_RAT	1335967.43563902	1230081.72771738	1356506.51263057	1292579.44251614	1374472.84916392	1372210.64004581	1237437.13548081	1362021.71892275	1399389.7008197	1262560.387891	1376493.71586432	1559703.67488508	1543350.57358467	1544723.52113044	1594081.92039415	1582269.04255067	1594735.91547548	1650387.11485834	1542465.9673578	1553622.32276366	1518119.59595586	1621747.74120177
sp|Q80W96|ISCA1_RAT	101300.559825576	101435.882789948	112092.040995414	105894.346278262	110460.735798064	121236.999439922	105530.575368915	110521.324613134	114625.803911606	113081.191352461	104921.676752805	232186.069602458	248158.025126769	241500.024513037	230081.100479492	248038.587107336	214731.501418308	246509.774836672	251200.259627126	232840.299125625	228264.194892414	251929.188927547
tr|Q4QR73|Q4QR73_RAT	701001.802243841	662461.429778392	648706.601763469	635545.217966229	662345.784642318	638436.907602195	680693.468844962	696624.173521454	657692.438931304	616577.452373127	654786.456305728	676162.470858888	678069.916874368	704353.754076677	728423.456361592	690063.034002472	660623.831091331	708079.349701791	693956.43447044	698653.968429478	671685.507754607	702004.17176504
tr|A0A0G2QC27|A0A0G2QC27_RAT	83754.0290637439	98550.4365008273	81434.5917686009	81640.687656157	89108.5378024676	85842.8616405467	85741.4156794259	97233.3457085274	91619.1285046809	90564.610040904	86930.3499216217	16447.4359800063	16943.9289911166	17907.7670880714	16097.4017390734	15927.205052945	14884.8707039681	14524.2741927943	15827.7636969612	18120.8961934396	18762.4799178085	14546.1905111869
tr|D4A409|D4A409_RAT	21140.7422633685	23140.0390224248	20384.9595546734	20650.4766231606	23131.4187590621	19794.1859233398	22106.7914372834	22544.7655201152	21275.0583271523	23733.8783659501	21455.760047464	12894.0427804809	11362.8312768883	11995.2137272075	13113.3068602755	13674.346974596	10925.8317593495	13741.6490559621	13508.9872356454	11388.8011581146	11604.7390364981	15069.2159622623
sp|P37136|ACES_RAT	233005.330831723	299396.043332936	214592.310652852	240205.125821174	211003.667698744	198329.948591146	232418.112670089	208954.156681829	200866.718510719	227239.659549296	225480.067298734	217692.43533311	261922.919783039	281661.383006994	307923.244917662	240600.994817616	238827.138205196	224394.363570998	263204.310854442	298171.535538708	312694.132609313	254701.118945206
tr|Q499Q4|Q499Q4_RAT	2359185.2324133	2525548.99881858	2456552.00789662	2367703.26254184	2383569.92138601	2401376.75970027	2598948.73027173	2165867.76341669	2584324.81799239	2457937.8642348	2491908.21190458	1137517.95180015	1121912.07444323	1179910.44276502	1196109.811734	1244594.09115778	1270928.35791247	1211749.54789417	1256901.20582988	1294169.97754357	1315473.05157341	1214402.08691425
sp|P54900|SCN2B_RAT	1950010.65919429	1632024.78611207	1848752.67066623	1701960.87483519	2091510.81902351	2028398.59669807	2383353.27959254	2169649.41986547	2101639.61697836	1845209.01305654	1992976.01788113	2129923.57168257	1809829.92413034	1977995.23175088	1839503.46288831	1851433.42141565	1885507.36105996	2129236.10601387	1793472.01076428	1979407.44296402	1763407.31454869	1877171.69101854
tr|D4A8H5|D4A8H5_RAT	212765.971747497	198370.96727504	207901.658376835	218207.61302876	197976.165760143	208960.938295306	230132.779090422	218350.945727311	216958.141071931	212013.210899407	213243.958443328	96151.1974777072	93223.0434115348	93887.7449842714	95062.9234720019	93259.0799933854	101162.246130103	95347.0278856257	102200.904940035	95035.3465389878	93768.2996201512	96942.2651879273
tr|Q4QQV6|Q4QQV6_RAT	45394.3520105035	51812.4798085154	65116.5692088419	81558.3614567316	72063.2660907224	77349.6927473202	73786.9270444453	77396.0183733587	55553.3504110585	60199.2949323733	60103.7825745408	54204.9199711395	64403.2692698489	65391.5443946455	63675.6507239192	42470.3502724069	42736.9422320026	51235.7558965224	50430.054523538	43790.3681131287	51565.0268734649	68318.9216308211
sp|Q6AYT3|RTCB_RAT	1631855.89745371	1555182.81499308	1615291.34022356	1676201.71944795	1621142.6000368	1632440.14399152	1681431.10838056	1559935.76121264	1660454.9696711	1585525.47007324	1629711.24965348	802462.656191361	810594.058303765	793199.792611425	737477.665599707	780138.435945353	809794.148430636	795132.615815458	791660.997252084	859952.61259601	789009.415351576	787910.776651623
tr|M0R402|M0R402_RAT	549008.56883498	534647.969178028	569859.920519341	594295.671875311	564100.905339808	588841.789584262	536236.476337984	577354.175449615	583330.475485847	588253.99722469	559508.791057179	468444.163207341	482231.796405178	481223.690573118	452886.549928146	428281.148366499	447551.294588793	452621.894314259	463236.227459212	450819.942387365	446728.058791085	437074.282378923
sp|Q5BJQ2|MINY1_RAT	139808.065770412	144898.775604456	162562.377972725	153813.181821633	140641.926606814	151159.43810798	168090.938817637	124828.734782525	159663.684720421	144580.913619066	151083.86579369	197188.583254529	205541.328485683	214016.007571748	216828.896949286	206309.763347618	229450.194404955	186892.60014004	220196.853973173	234905.251550908	249113.573206964	215868.598716521
sp|Q924N5|ACBG1_RAT	1015800.22820234	1034482.11586564	1116108.99159039	1042249.61144236	953058.566708706	1018450.64792078	898352.882054045	1021332.70028635	995470.100867245	930539.248028882	1006322.70819584	702654.082837027	691034.941693137	700934.932514761	711885.863757896	764027.664412417	690347.960275901	721731.351548556	767571.432899201	677571.538499004	632379.670553616	707712.075076271
tr|D4A2H6|D4A2H6_RAT	313828.181273252	224082.397610627	259989.402694967	278340.761698568	208523.461086096	185127.507124845	218149.15689555	274755.83984741	184607.173880262	183194.959234172	225967.810616377	168204.121975523	198898.015087036	154473.506935055	150591.252050283	126324.50714043	176275.55225977	154189.667193836	152532.324950299	174626.215384651	122282.805048956	148520.123909744
tr|A0A1W2Q6G2|A0A1W2Q6G2_RAT	29195.7228188576	30001.6133854632	25711.5618753127	27133.8926462411	30160.5802068023	31475.9057502959	28042.4952381804	31837.9421327043	28584.434705325	25475.7606541374	21808.2479633894	27980.0493895425	27980.0493895425	27980.0493895425	27980.0493895425	27980.0493895425	27980.0493895425	27980.0493895425	27980.0493895425	27980.0493895425	27980.0493895425	27980.0493895425
sp|P12389|ACHA2_RAT	79690.4417623881	79690.4417623881	79690.4417623881	79690.4417623881	79690.4417623881	79690.4417623881	79690.4417623881	79690.4417623881	79690.4417623881	79690.4417623881	79690.4417623881	73827.425216513	88664.5171986879	79238.3451747376	93230.2726711557	77045.6050307699	86686.1742383637	67373.3169979493	80716.3974386107	76636.3196323777	80953.6798737223	75531.8000191327
tr|D3ZGR7|D3ZGR7_RAT	222538.132262775	204516.541075702	220538.133034384	202178.349211568	209145.803184326	208597.025560782	248368.688897658	195596.513880474	196616.504149727	183028.902034856	222183.441842584	105651.214539619	99619.7330919975	96820.4502434979	89685.4102986957	97435.7978291209	115802.436386496	105951.992841698	105964.320301871	115273.614283873	105907.257193795	105569.871703308
tr|A0A0G2KAJ3|A0A0G2KAJ3_RAT	86337.0743569641	69480.480207968	77928.1416919206	75328.1672739052	74512.423247632	89284.0751096069	77362.1757152767	79216.7663767449	66675.1171909597	58324.4620574196	70404.4092583973	77976.1961344265	76897.9823449899	79919.0406679145	78164.7188778695	70445.4837012541	83005.5994907085	80586.123751461	84156.1781372785	84146.8945032407	75915.946890928	77761.5273936436
tr|F1LWZ7|F1LWZ7_RAT	9775.75163220564	12090.1469759035	11650.1367964277	13210.8938545653	11935.7766137285	10898.6875509849	10674.2641160424	10835.2725260487	11900.3337126351	10808.2572445236	9552.43003662328	260081.250657354	287141.312946593	240724.144541866	291352.672087396	235737.966044448	319358.280025634	241873.815785038	238853.1644047	216488.857279625	320195.920611411	362094.370561073
tr|F1LP44|F1LP44_RAT	29670.9702472029	29474.2528486367	23478.7962937916	24145.0039065998	29403.6811047197	35919.0828865918	17279.4835356731	17308.0264880805	21106.208179346	32482.0128385963	21351.8591535368	24911.866700489	24911.866700489	24911.866700489	24911.866700489	24911.866700489	24911.866700489	24911.866700489	24911.866700489	24911.866700489	24911.866700489	24911.866700489
sp|P61265|STX1B_RAT	5557215.10056191	5355785.54499465	5614549.29544365	5942448.99348768	6264549.59541287	6206903.99044379	6300772.24265245	5322718.49834863	6184419.06960095	6369822.88251672	6182694.97672567	6180781.55134179	6163993.98513734	6343289.00444066	6071217.82608419	6038379.60685414	6556835.35605782	6325999.59549997	6259781.28532968	6970395.76697093	6362636.74007271	6528218.0456765
tr|D4AAR7|D4AAR7_RAT	262477.037317329	247400.297145732	265162.120350043	261362.389716061	259393.549289895	247030.567748605	281058.195802217	302974.295825021	256359.458282671	266614.985521986	262045.207677738	324482.095781059	326596.842181359	353164.666220473	321064.771675094	296047.036687122	329464.575920396	293031.692954217	322239.390812831	360220.373310427	302415.941820953	315001.321452671
sp|P84092|AP2M1_RAT	3515847.17607856	3431128.32845338	3607707.39076703	3592577.59042181	3758153.29615894	3770286.96890157	3844888.20729085	3936196.43526809	3632332.35537184	3583073.50414899	3594671.14609601	2687356.98499306	2759104.12348554	2697470.48939247	2784129.64384587	2838550.37572528	2831097.96831248	2857729.15729268	2773003.35387553	2706438.78273841	2693011.7025621	2807579.88844667
tr|D3ZB71|D3ZB71_RAT	91946.8783752679	63269.7884258907	85909.3165332895	56755.1741381989	67390.0118426923	77240.6078520996	53061.5739729025	74766.6056560091	81811.3737072235	60107.5806693538	53095.149672531	68385.1086646033	68385.1086646033	68385.1086646033	68385.1086646033	68385.1086646033	68385.1086646033	68385.1086646033	68385.1086646033	68385.1086646033	68385.1086646033	68385.1086646033
tr|Q6P2A5|Q6P2A5_RAT	667502.702230527	678679.225245222	796660.042162064	768732.967788235	673388.798234251	680230.300757264	671079.765994048	679072.644564881	762513.25306055	785271.180807238	690253.085278666	760437.1604854	712407.619300461	615468.161967892	581596.674352468	749856.737327761	593734.700551552	632144.295570767	622646.61829081	521581.047427549	556116.711128319	628358.964856854
sp|Q4KM77|EI24_RAT	195291.14308354	189545.979508369	201163.705960702	189260.865907765	199054.742729789	204934.613281587	149466.855821788	231985.510343431	203469.614829068	200373.204731033	193663.081353799	222049.740230705	216698.564000419	172740.321639304	168511.707887024	195471.027881913	155328.684259214	187065.159262916	189448.412887287	178325.702459416	163950.244969158	194712.266562012
sp|Q5XIT9|MCCB_RAT	588183.477230632	590746.35367125	611309.671828248	582019.485316071	514778.418805617	540603.197298621	609436.250162736	575360.367740965	609369.919045475	594591.814972004	562528.999706137	509052.281643532	523016.840139539	470254.309110249	486083.016090247	472469.125371754	544957.761766893	520212.629987505	532615.815823065	549399.683716168	537592.340737074	493008.222121463
sp|Q9R1B1|T10B_RAT	141817.324538084	138839.924366778	141967.47334179	146191.464862446	140483.286322658	135231.610732486	123119.189545087	145551.654500535	147945.919902389	148967.476284008	143845.390955828	30716.2742070304	33419.1920504192	29007.4966311631	30578.1521363401	28405.0976357506	30927.0623115853	37817.2589296221	31482.399376906	34858.3451430395	34974.125844838	28745.6066008479
tr|D4A731|D4A731_RAT	159549.267036181	148841.841238431	145464.97612623	150072.866421764	149735.14236239	145504.672746262	130492.128772673	159809.210645886	149425.613707243	148647.27387442	149395.371941337	129935.161422698	129732.740954398	127756.771729792	131558.158432272	128645.665274563	118111.850974117	129368.523610559	125497.762523604	111512.768457963	112795.872401955	122351.278222365
sp|Q9R080|GPSM1_RAT	241300.660942614	251877.751328659	268316.819475392	248496.541794097	240614.936235565	266682.060868586	238815.527088951	248807.674563937	259665.960122152	232498.292455168	247481.561062239	375431.156659885	339494.717362367	343883.014837982	315021.965421597	388471.258250552	329749.983106505	354373.922652546	377398.952927001	355886.0289692	322756.243700318	344202.124320652
tr|F1LPA6|F1LPA6_RAT	502175.366175687	574070.821304388	536263.426778405	579603.927889453	487833.312419836	505918.202260096	560829.902622827	527330.620176891	551792.868580249	565909.627881763	558776.580522713	435749.505863556	510733.81592562	469153.646707508	476312.271715474	414501.393660703	421690.043862392	412536.577770179	476461.758137085	480018.042946682	476409.159438723	435146.479452214
tr|A0A0G2K724|A0A0G2K724_RAT	643962.945739422	625597.400272724	663895.707657699	670813.032983093	636505.888696059	648375.823833689	665063.11859258	603202.129706375	670045.975191526	628497.849167436	661861.63764098	442916.95726337	420957.439969027	444664.705850467	441148.628450434	469561.145961224	458749.689613194	465790.956464729	423448.489781854	462082.423093233	480637.09466461	430154.127125024
tr|A0A0G2K3Z5|A0A0G2K3Z5_RAT	58872.3688823801	60956.3473211981	66625.8742079558	64316.82860826	59616.246280401	61931.0775139941	70847.9852203982	60371.8567298177	63231.0425491127	61827.5951753269	63272.6168422107	89671.4468976432	92522.8168739103	87531.8620553735	98454.2081490038	81942.2959332878	92149.5542188181	84709.4668028504	88187.7865658515	93579.3164200951	96785.9329317988	90769.293642799
sp|Q63707|PYRD_RAT	545553.063219344	544756.533146019	409416.206902815	421808.103080708	535950.47020682	529478.485397445	415038.783547046	422298.214595658	415894.013706057	407897.839160826	490546.769841246	280632.500933915	282386.646005049	218536.08928494	209652.388469923	266157.564314143	297046.445718004	291146.70421654	274767.932761147	274715.507109505	271740.79311439	260834.940540356
tr|A0A0G2K2U9|A0A0G2K2U9_RAT	287123.446372133	158372.931348662	176987.678841713	158224.703232424	152200.020256874	152171.159498227	220599.482280322	148179.115570667	116064.729530766	186559.974803381	185031.195168673	16399.3415553552	15754.2294923346	16963.3350278124	14211.6064702968	17868.9110455379	17115.8669318538	17992.711451339	15178.5133363935	16019.4335724375	16152.4188501563	16637.670564065
tr|Q3ZAU5|Q3ZAU5_RAT	361271.471162542	338157.387872657	335202.986758157	296535.771717905	329952.092317512	323167.32702757	341821.181138167	351034.927290559	369889.899457099	340239.032821353	349770.294903538	340419.51385668	348630.445316119	326360.941596516	311623.02935977	333957.266895088	368920.87393862	355085.461864487	343939.107295576	340096.026509875	325513.934885175	326135.862912286
tr|A0A0G2K213|A0A0G2K213_RAT	31146.622172857	34740.2855854871	34213.1750878686	29592.664585554	36291.9816325826	36764.7390213524	30272.8922287571	36394.1137491889	32955.2836888596	33228.039796936	36327.7020299511	25338.7888952402	21373.0788478039	27591.7122675826	23598.5043242617	26040.3689340478	24308.251702724	23904.5266646436	25385.8708778974	25928.7374424026	26132.0708358296	25899.94228185
sp|Q641X1|ANR61_RAT	282875.764519361	271631.104445407	272117.535360565	224486.396311663	265146.708737235	217560.433637174	282113.282570066	201383.695812734	270769.3310895	289875.144400197	270289.297061326	104391.591160122	125649.220456707	149851.304028933	168950.187272515	169879.444265308	162435.502590992	159318.253508614	164475.026775024	119563.60958406	128483.01610955	169563.436499263
tr|D4A3X0|D4A3X0_RAT	2273247.46773643	2401556.00930165	2250726.72013899	1899415.9294944	2173201.36449266	2261763.45163713	2531572.34528866	2498240.45926496	2031842.75162851	2011079.76486156	2097276.31731296	1010136.82845204	1022890.25494799	992630.961358402	980440.590806568	1017871.12623089	1033384.79066491	1022912.61275598	976730.425347667	1015154.93324792	909817.253123609	1019232.49589458
cu|21604_5219|cu	10275.0680495329	9024.42445220227	8991.51946126313	7990.88709473728	12425.6251033754	8324.31900289246	240322.457903765	213852.815219474	221198.564574195	226453.255779668	83431.3839681054	18386.0601974983	17228.1485875136	223164.717951877	207667.21916529	20720.5476017748	18570.1162004691	18127.4807241642	16653.9339460809	20011.4407785994	17457.1177428994	84672.3715403646
sp|O54702|CHSTA_RAT	58082.2060072884	63834.4887735763	56541.3458192137	60447.2193137072	68481.4018581905	67065.5365119988	72168.0382990017	62022.7473152101	62994.0799465428	73039.457273999	68829.1529505564	80185.5311333211	73113.088128965	74961.1888681069	71956.5710729689	67744.5733317772	91443.6358575042	75797.8917559104	67208.1892588805	84638.4391140116	71682.7334467499	68448.6651122076
tr|Q5M849|Q5M849_RAT	175919.721272767	213908.933251041	187794.521483537	215635.310931202	187919.01099877	186912.832621154	223338.54843628	172070.625626616	183095.283684019	213617.532153644	206257.123604519	87730.0149442096	80642.2513439641	82595.1358967017	81084.8784818325	84372.5901114594	83252.8501514842	81657.4897481217	82842.0374307498	75994.8590284717	83167.7317750721	83981.7920464436
sp|Q9WV78|PLVAP_RAT	9391.72635782528	8810.69997758274	10208.9415459302	8761.47356542734	11169.53880971	11962.1025680177	9930.20197275956	10614.1864018817	8999.16418041852	10889.3208934496	11247.5455300935	10127.9482607179	10127.9482607179	10127.9482607179	10127.9482607179	10127.9482607179	10127.9482607179	10127.9482607179	10127.9482607179	10127.9482607179	10127.9482607179	10127.9482607179
tr|B2RYT4|B2RYT4_RAT	42433.7270938634	42989.2973720532	46259.077255783	40282.5074852824	41942.3622630273	45326.470409282	42800.9527080233	43861.0520416353	47110.7096934139	43664.7410014348	42117.7768115851	38758.7741180071	34625.2310428433	38048.9911011376	33512.2898010979	33664.9043704776	38232.4671167953	38962.7181903133	37148.2549013716	37370.1394912415	36071.2718599917	35241.7634913687
tr|D3ZEA2|D3ZEA2_RAT	303111.054340093	338303.915683688	328724.11814825	381530.077540061	426074.440328754	461018.322299326	405671.955692855	401962.812314688	401015.78473552	460917.857843022	395910.716881222	163810.476452064	183763.634717841	192781.023384318	177543.008521025	137494.909844916	131176.108602295	150302.660798881	153611.833995584	143937.308243468	170836.327038228	155761.370322196
tr|D4A412|D4A412_RAT	157000.158796336	156952.388004281	161461.374156192	143253.528552779	116394.200425316	123259.613938246	151992.319324302	139687.72884087	112179.960490774	112123.494263143	137991.127598567	223162.017126785	204785.889049484	228219.18069433	224296.297589102	197484.988619485	233153.546196177	208216.525555944	194973.427163988	240322.170696923	197515.189961906	208108.143248533
tr|F1MAI3|F1MAI3_RAT	150133.474467471	143485.284100256	162200.386342559	138854.594009612	148190.736487075	144108.3920966	109226.160292605	144136.639498468	154428.92135984	149986.652946629	140842.451739999	129029.578375674	130967.38198539	131900.783407212	132981.50212699	138615.435935293	119664.955917719	134535.15375779	149406.638918948	116696.464578058	129686.069243233	133028.844971242
tr|Q5RK25|Q5RK25_RAT	398200.171916756	419010.528989073	405757.361720012	411392.510558765	437661.464815355	435418.797606973	440132.29237053	419663.326960255	440033.09996616	444450.454621815	431759.88165975	537284.2322927	553412.602004895	561773.389794403	578256.276731218	604097.754596876	588826.10134385	576021.099149227	561285.647978273	564472.407045796	589663.004385654	553437.753184999
tr|A0A0G2K5A4|A0A0G2K5A4_RAT	327093.064611233	327572.399551805	324027.708248841	324789.798285701	326532.286176552	316202.184542732	319328.081899282	335232.62300552	310983.18457445	320727.814382175	329036.652630731	311700.343970156	311929.207225737	326617.552642923	323678.798158837	303964.683064423	322044.87615299	303727.976284415	311810.398912153	318545.931718218	308780.051657977	316768.200054817
tr|A0A096MK80|A0A096MK80_RAT	319694.752749936	333359.006006833	321372.079361056	330291.887198652	276641.646415188	252819.549092019	248688.629124863	243168.120118531	270477.395495959	287445.822188106	274220.801202093	290426.60728922	280233.587861439	291718.722918199	285301.217281907	283546.000920897	263633.013192685	273281.199429161	263597.252511306	281588.738179329	267660.215994102	277247.366648075
sp|P28494|MA2A1_RAT	153777.515798403	186347.592435069	173601.924047735	169190.011410162	170601.520195912	176831.435924101	179533.805205618	161848.965672515	175517.607020873	181185.796288382	163398.143998072	137639.252077092	136985.047732667	138167.991922542	146467.161823214	148669.713195792	145296.862500117	139068.775727778	143887.225441376	123167.758589534	141072.723695687	141295.685250824
sp|P97689|UT1_RAT	471493.854754089	438826.67463324	794985.505952872	357685.872163968	407629.032216409	540380.552916064	766134.44428408	502787.912125874	730754.15786606	482671.460800685	572074.285382181	445155.258788112	318892.175030529	402284.153163909	553698.015722067	424705.891670956	385250.431046892	514412.990727953	492340.503041558	328096.255692987	457607.230090187	394438.091251435
tr|G3V7K5|G3V7K5_RAT	113050.277088695	129204.709358428	140526.624544166	116131.798138325	124015.171872675	130955.029267027	177916.489118115	121693.177703076	138516.169577402	131918.076590289	138925.829519665	229521.46587449	239054.565853849	218543.785106166	209576.184281192	188096.954980177	229804.121070169	208087.273520179	216172.805484889	235785.876814496	224011.189524164	213899.480311016
tr|A0A0G2JWG1|A0A0G2JWG1_RAT	47939.3801797814	50831.3792794661	49261.8540920296	51512.5228280183	53450.1418266471	55394.7055768186	51240.1155848013	50555.0381547695	52508.2412260586	50877.406541284	52166.0038467808	66957.7190901081	70842.9768507596	72196.4606068392	69745.7445954872	67541.9697839247	75500.8888697581	71468.1614825167	69128.3307054807	70916.7064897111	73084.8608613105	75189.4497755718
tr|Q06C60|Q06C60_RAT	212364.158620657	222698.268857507	234640.553831054	238054.675532659	229714.676347036	239565.921391947	253801.610872225	211468.722950824	233865.937767917	260275.297788656	222262.201920114	280762.818362209	298589.173273584	299076.13272258	298444.075063922	291772.281175132	279837.396537604	282161.003452519	293969.372086794	312891.879742907	340732.77934424	298790.051058511
sp|Q566R4|LRA25_RAT	61420.8859480614	67769.8717801698	59406.7711387598	59411.7152296065	62816.6580283499	69135.0558356059	68610.6781350622	73891.3976576273	63512.4374145164	72550.161951559	67020.134708739	74932.1122603577	76608.499383884	73268.1232505771	75637.0384070417	82432.1375785435	86827.3281199042	79636.216981424	73363.2318106222	77849.3693123443	79367.3605219235	88669.4381633161
sp|D3ZSC8|DJC17_RAT	16374.7343310089	16069.2611335121	21039.5794694145	18742.7282681342	18110.636159856	18155.1857901058	15878.135838039	15760.581296096	17891.5333193764	16969.6113344548	21081.9571278673	140027.597871422	149508.422815545	120440.845290805	132151.761666021	131264.156429473	137802.638624251	126708.304160579	140194.172517043	114220.908005242	131119.105284283	120382.89894649
sp|Q6AY23|P5CR2_RAT	180847.234288637	197638.090657448	181042.717515397	184477.746279274	174074.155248975	178051.602385302	205128.786145068	190299.893888328	177976.323735572	195143.545842729	183234.234724426	120116.322932074	122461.543705643	115457.47667877	118410.540128681	124605.911758753	123948.52711056	114222.305508673	122538.300439976	127053.481863292	122553.149933082	124800.108474572
tr|D4AAJ2|D4AAJ2_RAT	139571.327915985	116250.228468957	124674.157943077	125978.322291235	138678.646616623	126024.825611618	109159.919308918	153927.051725929	129416.497343022	124456.063240008	128291.203069496	137883.554126948	128587.958228247	140873.074059912	135945.402287298	141822.477353797	127413.552898843	156524.525175871	136782.242538017	110830.240052615	118719.98441269	139813.531980842
tr|A0A0G2JU05|A0A0G2JU05_RAT	77747.4122663042	80752.6684051954	75513.6493248608	86386.5545263194	88310.0397361014	87961.3421211025	89602.9342033695	76765.609909063	78369.2563919588	83158.8483096459	86822.2443797159	104808.763012616	93085.4673548702	105558.196094919	89820.4051187007	88321.4930186012	89528.6200661746	100071.162404118	93937.0505153545	99818.7870268258	95066.3688319718	110772.915293601
tr|D3Z9B6|D3Z9B6_RAT	52089.3673286061	48761.7634446882	48364.253235748	56198.9375861154	63658.2868722356	63963.5277326357	70721.365128043	67494.6144434523	61747.7614262533	66552.0961585955	57283.9510349537	59250.1672754698	59250.1672754698	59250.1672754698	59250.1672754698	59250.1672754698	59250.1672754698	59250.1672754698	59250.1672754698	59250.1672754698	59250.1672754698	59250.1672754698
