	batch4.sig126	batch4.sig127N	batch4.sig127C	batch4.sig128N	batch4.sig128C	batch4.sig129N	batch4.sig129C	batch4.sig130N	batch4.sig130C	batch4.sig131N	batch4.sig131C	batch5.sig126	batch5.sig127N	batch5.sig127C	batch5.sig128N	batch5.sig128C	batch5.sig129N	batch5.sig129C	batch5.sig130N	batch5.sig130C	batch5.sig131N	batch5.sig131C
tr|D3ZHE6|D3ZHE6_RAT	30196.6087538236	31746.1141659516	30441.6821177024	25907.9984359455	24174.0877192998	27304.9946936779	33771.7927200932	32267.1677842516	24068.0902031082	25932.7657711403	33305.8835248997	501196.312062211	508867.726607259	446323.048627257	443674.723012413	398449.134467791	478359.319483658	445296.743804997	434603.298150683	425840.664121091	429268.212844671	434202.552429489
sp|B0BNM1|NNRE_RAT	475013.979958034	449172.756191996	492375.271461666	471079.554808557	453120.127195715	461262.571288962	500769.998162377	419966.680536992	538536.804647598	467594.866925459	471546.086726615	678015.341507862	664261.39460488	650989.964531521	672538.918713226	639843.401035903	691242.893485958	643075.122518294	658334.648716385	755199.450427087	755282.218661333	586054.914893465
sp|Q5U2X7|TIM21_RAT	170455.475646048	180206.151023689	159682.930870474	180672.290352007	167990.07405123	185716.948137823	157268.272017227	159410.944010981	150390.199522486	164020.948343298	160244.726183558	291926.090537805	320035.772338421	254029.559911923	260642.03731621	257311.358245891	298179.990730587	276441.182754841	263921.598197184	274277.908933937	250404.338931214	282365.364133528
sp|Q4KLG2|GIMA8_RAT	26184.7971154232	26188.0124205143	23797.5175499708	22900.5259529386	27506.7410851536	27005.3268629204	23710.112719567	24594.6740514864	29068.7458095517	29172.6059724427	24423.5702374055	10736.0949068742	13608.0908786459	12228.1967570745	18271.1342519014	16910.6371344646	14484.1637530358	14929.1138632025	15151.617358369	11703.1810340542	14567.6890883757	14054.1405121486
sp|Q925C0|SYT9_RAT	205312.745343752	234930.589377789	243858.003189361	217982.562318375	215275.617506975	241179.357849128	256495.259427307	196109.5818281	249703.668042006	234203.539840259	237609.238727124	220811.033728157	216297.365330858	204487.184523059	213736.304004512	193821.715698086	202022.012892729	189190.002689004	201293.088521519	220324.96956439	209893.388164982	202536.570360872
tr|E9PSJ4|E9PSJ4_RAT	724867.879205997	712251.514159604	728929.676302552	732211.988652065	716588.766893687	716999.800596165	778934.335853647	690676.447667741	700905.932614386	669052.817587736	731249.264750213	702497.59348957	676835.418451662	698653.129085083	677884.779699847	668457.455224612	755324.789754832	713996.845569867	675411.551674022	759412.694394142	730520.027989632	686496.538165436
tr|M0RDG7|M0RDG7_RAT	166822.058863136	172363.277701857	170588.470311717	185950.243128034	162872.22111635	183932.569964078	169534.426603047	172221.366294024	172859.654682619	168761.94034917	167473.402392916	207038.969370109	206762.126562808	225656.516978049	243508.79849638	225360.57143375	209777.276990653	227749.983492633	229075.731243366	209672.933015276	241852.531277358	207989.504312986
sp|P35349|GRM6_RAT	70142.3629640002	48299.4699732642	80605.139153132	61393.0034492602	68980.4005530278	65997.9881032253	48176.9681598361	55644.8027807399	78193.727634839	54960.3610763335	63597.7393202459	83296.3265965388	89947.807015063	88255.857384017	81447.4937015636	94667.7616959521	70289.3449440445	91002.9865976108	93255.8124898918	75181.6013997294	73943.3591717989	91934.7135541339
tr|Q5PQL9|Q5PQL9_RAT	1482192.80597546	1583919.8772067	1583089.22407364	1667764.88463822	1765018.59837489	1739004.42635615	1713839.25034833	1405854.77903762	1682999.94831487	1640893.83087786	1760046.47773897	1399030.33275453	1353637.7948677	1324609.01650322	1371157.77405714	1545024.78641143	1382141.84981924	1368302.84557537	1431438.86462694	1376633.72958119	1450785.21393813	1437882.42173014
tr|D3ZPH3|D3ZPH3_RAT	171937.642159037	172048.718054519	187311.121542178	175165.511039468	167993.050220562	177231.63807373	174860.057890392	178438.672230966	176122.816027696	172682.327528845	180296.197455541	217331.765296602	220815.671834354	204258.730445917	195560.752034166	188226.927076225	206731.314477265	189371.863026016	189385.802679024	187496.443637038	177787.906443523	208628.417006614
sp|Q8K1P7|SMCA4_RAT	231015.612157881	222103.932702835	243674.849672582	233009.557412452	210918.157947309	221200.963482046	204528.755839937	225948.927095742	218122.701436706	205829.432726765	221732.936090788	213897.72914864	206797.183328443	202390.981221922	193708.133093477	197877.640260585	195989.903816603	205661.176311923	201735.323282908	197201.801827485	178723.149164912	203003.212313149
tr|D4A4Q1|D4A4Q1_RAT	22500.194418803	23419.1545597308	18391.4580007663	24067.5850362663	26369.8881179778	18768.1018463433	25594.2080293881	24839.0786048892	22880.7828341719	26240.9146779451	20437.460430816	16274.1910989738	15814.6829922261	16688.390435843	16821.8874595736	16978.218633316	17004.5849825746	16989.4549461975	16299.670792861	16430.3859075632	14798.4365721946	17670.004323256
sp|P14669|ANXA3_RAT	1179900.99099143	1120403.80345988	1003568.57301595	894291.276465704	1249873.03031559	1309631.62749067	1031176.4560231	660105.72029049	1155211.46207386	1108595.58451151	1049756.88234321	1087697.91648494	784306.965838671	1179098.25542687	1148833.11015242	902597.855226937	1152064.03867689	918370.734150231	883262.550869412	928882.029831294	924854.357916411	1040562.11102396
sp|P37727|RAE1_RAT	363644.506447273	361089.113096514	336711.66400387	341620.699407309	358157.514246222	344658.772214559	341972.764242226	359694.875329233	364913.434590058	347897.000933932	368585.942093061	218111.97247381	216405.149477189	221681.925562114	227359.400132994	227399.886145567	240303.050271658	229576.575314453	230875.191612214	208494.908196448	238730.370864369	222772.17737177
tr|D3ZMX6|D3ZMX6_RAT	500661.136462868	510136.994973401	547295.029165239	518514.191692756	495737.8936031	522073.64707509	414707.930435423	501692.647964476	497815.375162398	521996.434637607	491618.825423359	397203.105257856	413147.95832327	352757.226675504	366618.654511987	407576.900236187	337464.947131923	375905.234533789	405352.344411227	335329.994094016	330431.883964564	392227.214549977
sp|Q8CF97|VCIP1_RAT	404376.505027634	376124.043623735	406196.230177807	380175.055152195	400406.971851011	383528.757764051	321578.07011865	430521.70260223	392091.448347311	370711.293033176	380150.367221087	336808.779484684	333013.848870633	330310.980654773	343606.541815	338517.880912793	300168.11809312	336747.187359829	334470.304715781	304462.164933129	290943.963653869	329607.927280193
sp|Q62825|EXOC3_RAT	374678.341111124	347952.737889619	388351.394543616	350381.098841113	367086.535806947	347516.951195692	266730.334667567	400550.645764708	362359.770790944	343726.316596212	350749.087414579	291344.417889609	306048.066996657	275874.776816352	286741.500099599	293485.563590965	250713.388425007	285607.712839518	287215.880182117	239984.188345813	237844.644360021	289492.079865144
sp|Q9JHZ4|GRAP1_RAT	998433.036709655	908462.14337017	939629.852765711	929176.644098758	991642.115866575	944967.467929818	994917.925854314	979789.016400084	949356.815222088	939328.273238391	956773.792564464	844323.75752152	811448.187286163	872284.644570636	860323.471762908	828395.905824338	874172.581869489	854629.30700485	833760.242370911	865744.285524548	843601.917068736	852432.756012035
sp|P70498|PLD2_RAT	45688.0755776656	44886.4372074362	45703.9296469311	45886.8010071396	46354.1275482539	42852.5465659962	34597.847936145	45744.0092579754	48676.7286267011	45868.2179852531	41668.2032214142	56274.4600266714	55195.6528828363	52736.758052556	61005.2133598146	59978.5837202396	54517.1717149692	52811.7743278549	56951.8827944596	48477.3785295672	53610.8510176659	53752.3949403291
sp|P13437|THIM_RAT	1277684.874097	1343744.04854821	1491395.9610376	1340918.86824378	787599.128909716	866619.673311692	890924.737993053	915745.777718985	1318500.80521888	1298252.8660137	1215113.9044729	377790.537302618	399801.857968748	354683.883434943	372051.210194562	272609.820879245	240063.216029621	343047.273744934	394309.119717837	345526.731537543	321053.273985635	340810.651971506
sp|P36860|RALB_RAT	1642936.12369583	1605242.92845698	1469152.40525846	1664693.67758139	1744737.23923232	1605665.65313246	1809240.72125604	1591661.73050604	1662290.65162099	1693727.38180482	1660294.97898041	667993.638899249	678873.093704024	698397.70942282	666353.390777659	673316.057144255	773412.833966531	671900.704849082	617042.685160768	748282.659118337	726311.02324072	693234.280186148
sp|Q99N27|SNX1_RAT	1071555.28703757	1140399.55571883	1110425.15421417	1136135.39874744	1092619.89849197	1112588.78894802	1033124.38959983	1087570.21156991	1125905.05403714	1186848.96631886	1101150.42937142	695546.463754532	690028.568356118	725293.412869767	700329.245281094	719311.565454387	707628.622782645	695495.54765611	731588.880870688	699321.804855414	720067.398037424	708831.474818155
tr|M0RCN1|M0RCN1_RAT	173821.784944383	174550.51529532	159567.827640213	161793.255749	144108.766355388	134598.73718785	173278.048821299	177852.602201483	132096.497767126	139085.807241458	151965.785387663	163024.847146901	161224.781523171	158893.653650901	163539.035432737	147159.624123116	160061.013047115	164434.235356273	152518.997053853	160315.632797981	148368.841768504	149039.508298155
tr|B2GUZ6|B2GUZ6_RAT	614773.047195539	622361.398560888	634616.42094912	683917.534569512	614433.695841222	598224.918939052	613601.327932243	627967.407496179	626077.72600117	620130.181515854	604675.34109842	599703.3516391	638319.090341011	612813.482038041	620498.931235633	566357.895657612	661225.743389216	646235.921687843	654782.345200254	703882.987826303	724084.316544664	630341.477397636
sp|Q3B7D0|HEM6_RAT	156382.307173212	169451.13943426	161503.234519543	173227.08337621	159230.683688899	169298.725891932	172756.597305494	165405.648279263	164114.471118751	170849.513147208	162954.112881303	125430.525912412	123001.67626021	118227.816259435	119670.57183107	133190.212048705	149761.030125086	119537.707789592	123488.122529556	126701.709346793	137816.674173333	120547.404119337
tr|D3ZTU7|D3ZTU7_RAT	71273.5858539536	68592.1845357619	65332.7653482644	63735.9915863976	102978.426132404	94297.1745348476	53569.3675255592	68511.6325392737	58827.7452348768	72685.2118696738	72314.7215717329	38682.4906845908	37226.0441073763	36703.8029548302	28554.9776551267	65361.9183231028	66036.5140599587	63801.509800507	53160.2993683703	37748.939046401	39032.8289174142	54660.3080443878
sp|Q62609|NOE1_RAT	344440.776989568	296663.415614411	330624.880027933	339368.808090125	396369.537524895	377326.291755608	326190.740750921	327167.805685546	341454.423416214	310621.214999719	342783.819572701	283415.650531208	253116.014935999	257436.184151331	225846.530510978	252718.913648786	246383.74371733	316323.30198967	245505.278343863	240409.974295642	237434.800675438	256541.082849536
tr|F1M9I4|F1M9I4_RAT	72437.5080866853	77815.0014140652	71504.1341876833	71237.1438035489	85715.6951345879	84166.8662981881	68621.5387386138	78789.2626969157	81400.3629826008	89607.4740626101	85018.9838300011	50521.6698579254	56263.4784894949	54577.3860049411	55507.3364956988	52565.5007849474	55613.7298140236	44985.7602473161	53439.4332673821	51699.9791194051	58510.5942560564	53745.2572021568
tr|B2GUX5|B2GUX5_RAT	482689.293344547	504642.318894377	472944.45121065	464660.150319367	466474.674821746	462625.025836477	484033.095560728	452482.227678014	526563.563049676	508548.217229774	502136.2517142	519171.403603791	517501.307929675	547880.784199604	538054.997887337	496030.341150328	517825.449087255	563113.259953862	562228.311817588	555926.178731126	562059.762313053	522492.192253867
tr|Q6MGA6|Q6MGA6_RAT	268142.05585527	299219.52106069	279118.927678316	282043.564451369	221091.327561106	289345.180760713	248551.384726454	205234.603635993	280699.050322096	256106.519931619	280962.381655981	301538.432603784	277972.231743478	223121.603835515	234064.802132557	255165.942533207	226769.858733658	245420.264683706	264050.986023833	201261.731247049	270320.532481872	240626.260565452
tr|O70185|O70185_RAT	56705.7763727971	43076.3865001035	50971.2831804119	47157.1586083764	50020.406141441	53680.5297714195	57518.4619437471	53390.8449378452	49495.1194988425	42733.8901486927	49429.5718567985	94559.5300061632	93442.7969069774	88962.3251568758	84541.0944303655	92665.8802683024	103310.199290714	109495.740012206	108568.215485309	102381.343665031	89939.698176241	101980.255983207
sp|P85969|SNAB_RAT	4340428.67982285	4153693.92086229	4054965.66413757	4208734.10591209	4681129.29887759	4680012.36504265	4423547.99180625	4057802.73503447	4323821.27712964	4279567.23588838	4393111.88497736	2963271.42283598	3064863.5167742	2962299.49441911	2861376.02377218	2648544.32217815	3032192.11361183	2988721.50867653	2686883.95335991	2877679.80806125	2835649.27857593	2939043.6623586
tr|D4A542|D4A542_RAT	93298.0758918286	100945.819387632	101015.100944611	91837.6420703616	99192.0356787567	103818.104314471	104139.849895976	113764.383070537	99095.3130805577	96201.7316672029	103914.135214931	95953.836453971	85320.0518944572	81739.5224164057	97188.0101155128	98630.6848175282	79568.6866433623	79972.9896431668	90855.5068794324	87465.5585620703	83870.4402858206	89886.0124426023
sp|P27213|PTPS_RAT	157579.190853253	184912.323125742	179060.821912191	198666.344185535	174947.340815443	178501.788247098	199420.208326829	186277.613314529	201470.324141083	183612.980626622	202621.558537398	33131.8974045478	36683.4422258988	44476.7014500622	40440.0736853311	40525.3958874475	45624.9769436516	37744.3575944201	46030.2312408593	44308.4538312329	51989.588598443	40235.8992709203
sp|P34926|MAP1A_RAT	6447248.8989718	6354580.44408144	6211456.32640821	6784913.75540417	6656891.37210344	6467782.98219509	7308723.88596642	7060098.44653374	6271561.51683559	6540641.27512547	6644474.25458884	6231918.26953805	6101637.71037442	6649228.90939251	6419989.59412476	5982106.36613108	6675461.37609319	6427196.51949027	6018492.10792642	6310644.96765818	6530762.11290205	6381063.76592204
sp|Q00657|CSPG4_RAT	242273.913770211	259003.636907914	238149.304271495	244187.636155025	252269.58381969	244121.33818523	250159.32936196	243260.92304413	242290.401926714	248898.582928244	250852.088152122	210272.071371178	209850.88399973	228959.000653822	225071.207627215	215448.625186389	228292.982145583	208194.321192427	215033.544321189	227938.390254385	227829.717669402	222240.43494762
tr|A0A0G2K865|A0A0G2K865_RAT	887949.107976139	831277.07411864	808910.238771058	850500.662485457	817282.200764015	801837.042473565	906765.152760873	899376.329372789	857318.553744751	849590.581120808	849726.039482421	805284.746407577	802975.286479791	823664.600978197	874308.825304476	888681.673061171	922280.080524148	841445.453548537	816778.98088009	831941.356904478	859426.463949681	866040.855643541
