"","sig126","sig127N","sig127C","sig128N","sig128C","sig129N","sig129C","sig130N","sig130C","sig131N","sig131C"
"A0A2X0U2I4",16.259847989687,16.7026566758936,16.0985374755353,16.0830878565581,16.3254907351193,16.729267393837,16.259847989687,16.2501198666838,16.3601366276479,16.8283225955826,16.3323947158641
"A0A2P9DUN6",17.1295387596729,16.395961286789,17.2064819087109,17.2414510130963,18.2783057010937,17.3822663378615,17.1295387596729,18.7732935922686,16.0058507901976,16.3370769166126,17.9224633484786
"Q91V47",19.311726292162,19.247266217216,19.2393151509194,19.2545837432971,19.2809795293487,19.2320997076166,19.311726292162,19.1607865949795,19.4740247597055,19.1740635821353,19.2001004546496
"Q8BPM0",18.4081304785574,18.6030593323201,18.0337273330918,18.0185781416805,18.3744082253873,18.5708559956643,18.4081304785574,18.0855849412738,18.5669029400945,18.5843897274159,18.1726456476225
"Q80U19",19.1479499711569,19.3379281486201,18.1959191512169,18.188100015863,19.0748763031025,19.2468591240839,19.1479499711569,18.2677805316743,19.9913986860926,19.2942454072461,18.4966617900773
"P97318",16.6202048909243,17.1562060126533,16.3234647003139,16.4577419713085,16.6954102959966,17.0555237861432,16.6202048909243,16.4296020889367,16.9888534583365,17.0217901423118,16.5112314786965
"P98078",12.9742347097631,12.1756057221997,13.8614262164692,13.8926055072542,13.4114672655866,12.6407317264956,12.9742347097631,14.1388284872728,12.6752118399125,12.6024088690497,13.8708569437271
"E0CXT5",12.9742347097631,12.1756057221997,13.8614262164692,13.8926055072542,13.4114672655866,12.6407317264956,12.9742347097631,14.1388284872728,12.6752118399125,12.6024088690497,13.8708569437271
"Q3UHC7",18.6279434344289,18.2893988659028,18.8223528527557,18.4486382383303,18.5599560630672,18.1927266269844,18.6279434344289,18.5014230152373,18.3468303305262,18.2755323768638,18.5131110870967
"Q3U2G7",19.4592510659316,19.1091916858913,19.6604198659541,19.2737636880283,19.3794619390581,19.0245523795762,19.4592510659316,19.3328738843938,19.1629671259503,19.1079437112903,19.35071749432
"Q0PHV7",14.6360908226225,14.0942560456239,14.6659282072361,14.7270313452499,14.6187579806069,14.5104158295281,14.6360908226225,14.8898685357947,14.7486285017839,14.727162522432,14.6232427943913
"P61804",16.7494431732476,16.729872801615,16.6846364656412,16.5173014622903,16.720503809941,16.7751528442392,16.7494431732476,16.6075350493515,16.1443343758003,16.6613303266901,16.826602435907
"Q62165",18.5825824057098,18.5496300353002,18.9003463907665,18.8209962215078,18.5156286233217,18.4764559380745,18.5825824057098,18.6654792488742,18.0928787414498,18.442949300484,18.7480829296805
"Q6WQJ1",18.3752169352995,18.5105702521381,18.8090201216803,18.3362604240405,18.3101709680891,18.3126793786331,18.3752169352995,18.4879311389027,17.8795017864255,18.385240645884,18.6399797652287
"A4FU75",18.3721463611456,18.4812820925412,18.8088943322683,18.3371426026458,18.3013768575288,18.3149117440648,18.3721463611456,18.4951038856317,17.8736671694877,18.3864685056437,18.6463558791333
"Q91WC9",16.760742568653,16.6874167515633,16.7156445645726,16.7951531362072,16.7727767136811,16.7452189392728,16.760742568653,16.8245488794297,16.6137690390539,16.7654313377619,16.7107766108252
"Q9ER88",16.6640928368179,16.4315172287435,16.8895330349542,16.8287873839787,16.6833328690036,16.4824314690855,16.6640928368179,16.8519841042697,16.6652270872075,16.4216317518016,16.7517674793398
"Q80YE7",16.4780001764324,16.7088923903418,16.494145542188,16.5008210417226,16.4970160065623,16.7461896418337,16.4780001764324,16.574766067781,16.3941971109297,16.7334584367568,16.5420412079115
"Q8VDF3",15.4748411913702,15.74622470671,15.1432311585481,15.0385380604874,15.5987898307973,15.5839505390586,15.4748411913702,15.0445751698114,16.2620256189121,15.6147239044227,15.2912855907843
"O54784",16.9470688277133,16.9824133606193,16.8100866079185,16.3055590552727,16.8704759314688,16.7683332117875,16.9470688277133,16.4916942029615,16.9648738415902,16.8451404464765,16.8014854475856
"Q3UJQ3",19.6534571391439,20.0416738424835,19.3459828365435,19.5808933609157,19.6685238526852,19.9842657355465,19.6534571391439,19.6161289565228,19.9948063326648,20.0578333794361,19.5913733253739
"Q8BIP0",17.6367866137488,17.5184682862201,17.9730133128598,17.9110722319063,17.6936360761957,17.6206802276001,17.6367866137488,17.8229779641652,17.3092977554507,17.4529066236989,17.8364922853628
"Q9JII5",16.8591661733706,16.5315850324902,17.1025664824499,16.9301369273397,16.9739266050498,16.7891319889661,16.8591661733706,16.8691708690899,16.7594804325989,16.7203004204178,17.0449095360897
"Q64237",14.740163042003,14.7179204256251,14.9076433099142,14.8267874074178,14.6125670734755,14.7210559984638,14.740163042003,14.7991451363783,14.3034129070035,14.7713374806124,14.9528392044555
"P31786",19.3246185810543,19.8881706984172,18.8755352661703,18.8871676247667,19.5315923351108,19.7419619909386,19.3246185810543,18.5557153400359,20.2838070322248,19.8514571053184,18.9441019481038
"Q9QXS6",19.6235392654109,19.9446335159296,19.9404484133138,19.611569650639,19.7013659094565,19.9457867049158,19.6235392654109,19.6027087262514,18.8332740257539,20.0213315957244,19.927212463064
"A0A0R4J1E3",19.6207197331619,19.9581259046484,19.9440501836554,19.6009440740968,19.6967286935197,19.9489216393949,19.6207197331619,19.5962567043301,18.8144958093155,20.0245026927139,19.9334581880015
"Q9CZ00",14.3625866191718,13.4232427971253,14.5239801685741,14.8288623504373,14.543612466107,13.9824650480062,14.3625866191718,14.1448814952001,14.2899452021228,14.0404643260358,14.5500941098088
"Q9CRD4",17.1764074248271,16.6949611367839,16.4483261941369,17.0630392270521,17.2809890233997,17.3701367239976,17.1764074248271,16.8497163073314,17.4802092184999,17.4547467346152,16.8438092390718
"Q62418",19.1143335755671,19.3250370580942,19.3471259459475,19.3987029527608,19.1667815924054,19.3294157202672,19.1143335755671,19.301553462773,18.6602326437431,19.3627289358584,19.3211645657415
"Q923B1",14.7394060874147,14.8549649017943,14.7076400991318,14.7247059166982,14.8132011843727,14.9145057079574,14.7394060874147,14.7009058293861,14.8784555567146,14.8391068666529,14.6600535773443
"P53395",19.150684777591,19.2703405695256,19.2708639682546,19.3394092366579,19.1611783950239,19.275303761169,19.150684777591,19.2632025473713,19.0715805087376,19.404516230217,19.3011729003045
"Q80TR8",15.8050660991568,15.2349565126224,16.2475478771675,16.1397657902654,15.8593091139619,15.5458099797601,15.8050660991568,16.1523280894293,15.6659120633804,15.4890790564658,16.026967837911
"Q91VU6",16.9378393850502,16.9395997345787,16.9612857958092,17.0721629084858,16.9704407054752,16.9867029126205,16.9378393850502,17.0894712861231,16.6349624599811,16.9566038893383,16.9692954292291
"Q80T85",16.6338762535819,16.5136578774252,16.8636500919001,16.9483360510377,16.4879570606163,16.4731158544396,16.6338762535819,17.011408798635,15.2556323720461,16.5738194983743,16.8084825515909
"Q9DC22",17.1020196755946,16.9700236827751,17.3445339442302,17.3798158334474,17.0979436806273,17.120191522379,17.1020196755946,17.3774339765797,16.636659578545,17.1206546259953,17.3065315153098
