cluster	X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.
1	"sp|Q0VGT4|ZGRF1_MOUSE"	17.2722597298323	17.2190778102022	17.3053952096078	17.3829257401624	17.3405077198928	17.2780878098637	16.9873302998994	17.0358391895033
1	"sp|Q8C0Q2|ZHX3_MOUSE"	15.4077334399488	15.4104103100359	15.2842661999159	15.3997195100192	15.3552419100135	15.2302721800164	15.0420448298025	15.061900529851
1	"sp|Q8BY46|ZN574_MOUSE"	15.2327584200989	15.1297696198335	15.2840867499575	15.236522400043	15.0950084598838	15.2200810998604	14.9854133300467	14.9278594900081
1	"sp|Q6NZP1|ZRAB3_MOUSE"	16.3107648599351	16.2559015299968	16.3324998299255	16.3249932299499	16.2980866900817	16.249460550004	16.0943146899936	15.9913562599038
1	"sp|Q62523|ZYX_MOUSE"	17.4627430401036	17.5143639302228	17.4709221900086	17.4831069796695	17.2770244100055	17.2578954904543	16.7951752695542	16.8047865803416
2	"tr|G3UW58|G3UW58_MOUSE"	15.2128886398136	15.3057816400988	15.4314815599322	15.3012624400871	15.3853065001428	15.5045634200057	15.9435995600476	15.958261330028
2	"sp|Q9D2R0|AACS_MOUSE"	17.4503772797877	17.4536002803332	17.3825606497713	17.3704154499483	17.5333527602108	17.5006964203873	18.1980035000964	18.1918283399721
2	"tr|J3QN89|J3QN89_MOUSE"	17.1358064904193	17.1353547002266	17.1454728901484	17.1935641695615	17.2327680601379	17.2961069197742	17.4998542601762	17.6499320599988
2	"sp|Q3THG9|AASD1_MOUSE"	20.8095106900733	20.8164041401448	20.7011329999793	20.7354241795966	20.6664631096908	20.645539360267	21.1741864797701	21.1701849601421
2	"sp|Q9JKX4|AATF_MOUSE"	19.4174501099137	19.4923863399834	19.3896790199083	19.3940865898962	19.4493037700466	19.4405021599109	19.7438008800398	19.6530900400523
2	"sp|Q99LE6|ABCF2_MOUSE"	20.0289939798621	19.9625397895322	20.0885473696717	20.0309925701098	20.015645520246	20.0691987404012	20.3272603597469	20.2809109402724
2	"tr|Q80X81|Q80X81_MOUSE"	19.6233372500498	19.5850811099407	19.5614363199296	19.5036754100362	19.5727751999967	19.6523752899737	19.9814885593514	19.7895494000044
2	"tr|Q3V117|Q3V117_MOUSE"	22.0222528999108	21.9168714698621	22.0154670898955	21.9741156500512	22.0011537598488	21.9343127398796	22.2954218299734	22.2690092699277
2	"sp|Q91V92|ACLY_MOUSE"	22.0213319699725	21.9116867900278	22.0132043800941	21.9718444900413	21.9970613798891	21.9306370501252	22.2952249900367	22.2682855901398
2	"sp|Q9CZW4|ACSL3_MOUSE"	17.6942880600875	17.5459428396805	17.6613178501495	17.6639677398722	17.6420236899387	17.712538210327	18.0364938998445	17.9884437900159
2	"sp|Q9QUJ7|ACSL4_MOUSE"	20.3530806894728	20.2932800596153	20.3409755799144	20.3537754300742	20.413047869548	20.4040338699218	20.6279069797481	20.6005602996028
2	"sp|Q9D1E8|PLCE_MOUSE"	16.2740718299677	16.264324849917	16.3023292199624	16.1931114799758	16.2877635400349	16.2912293799363	16.6102975993074	16.4682282500385
2	"sp|O08715|AKAP1_MOUSE"	17.5975198503135	17.7155620301488	17.6392621101588	17.7117342797507	17.627643939776	17.7400217097899	17.9862011399318	18.1612599199328
2	"tr|E9Q777|E9Q777_MOUSE"	15.5587877400256	15.5807760700832	15.4079699098882	15.5366942501232	15.6424862901267	15.5140033798627	15.775268379957	15.8310368400812
2	"sp|Q99LW0|ANR10_MOUSE"	14.8622257501359	14.7430815197704	14.7981970097746	14.7839246699781	14.8609601798371	14.7830196301626	15.1126094198931	15.0553056600434
2	"sp|Q8BXL7|ARFRP_MOUSE"	17.2520057595671	17.169737749868	17.3345532299289	17.2696613103455	17.229826610279	17.4227905298985	17.5177906598961	17.5931608998729
2	"sp|Q9WTL8|BMAL1_MOUSE"	16.0128014999417	16.1517444800373	16.0587850999753	16.0906130799048	16.1596632699227	16.2163689999927	17.0823102500239	17.1758566403117
2	"sp|Q99KN1|ARRD1_MOUSE"	14.9537134998656	14.9060248498996	15.0085084600757	14.8705992598424	15.045067069789	14.9900675099014	15.6054916499486	15.4108156900079
2	"sp|Q61024|ASNS_MOUSE"	15.743328010071	15.657529999938	15.7611626499711	15.6960735798723	15.8292688699712	15.7804769801139	16.0453169001034	16.2188707500658
2	"sp|Q9D9K3|AVEN_MOUSE"	17.0368984598304	17.206746919655	17.0611395799962	16.9945018502341	17.0280162295381	17.0624673395535	17.4312945102001	17.31615957024
2	"sp|Q91YN9|BAG2_MOUSE"	18.7357165600852	18.7561026798504	18.8004106200057	18.7513553700087	18.7212223901666	18.7191514898937	19.0603644800104	18.9878247999014
2	"sp|P24288|BCAT1_MOUSE"	19.4634399400618	19.506637209982	19.504160189906	19.484985579976	19.5017275699226	19.4934403600932	19.9322115895515	19.9062545200306
2	"sp|Q80XN0|BDH_MOUSE"	17.5423583202753	17.4660576100451	17.5767316997834	17.5281873902091	17.5999408096737	17.651960430222	17.8355403298321	17.8121219603131
2	"sp|Q8R2Q8|BST2_MOUSE"	14.103701800025	14.3158817699253	14.2466816100585	14.1473331603924	13.9601967895649	14.4115218201007	15.1870277199639	15.2751344099663
2	"tr|Q8R5L1|Q8R5L1_MOUSE"	16.4766440500791	16.499737889988	16.5808203600231	16.333564460079	16.5458959300412	16.4959152900239	16.8742319303667	16.9202454099951
2	"sp|P11798|KCC2A_MOUSE"	18.2549368599925	18.2403060800831	18.2071210498784	18.2489913098718	18.3508608300522	18.4355732700445	18.8809605899788	18.6572116700055
2	"sp|Q6P2L7|CASC4_MOUSE"	16.8368710798093	16.8158262903389	16.8672285198898	16.9862138905549	16.979193269849	16.9516847500754	17.1971822698989	17.2283819696425
2	"sp|Q8R2N0|TAP26_MOUSE"	16.8164325896168	16.6585861394866	16.8055801605492	16.856139519446	16.7663704503447	17.0044882096927	17.1667816799172	17.1288428301953
2	"sp|Q9D0M2|CDCA7_MOUSE"	17.1318095701674	17.1735824895157	17.1303492199101	17.1533937898862	16.9783580598798	17.2027591102338	17.3846759898936	17.4578566996521
2	"sp|Q9D1L0|CHCH2_MOUSE"	16.4855523900328	16.5233709699372	16.5579005500091	16.5948463499388	16.6489972400412	16.7461040803895	17.0596140304007	16.9630063400032
2	"sp|Q8R2N2|CIR1A_MOUSE"	18.4069055298945	18.4111315400886	18.4527169799078	18.5204132599702	18.4487555601438	18.4909203498819	18.7349113500687	18.705378940153
2	"sp|Q5SW19|CLU_MOUSE"	20.2057769594813	20.2850014796886	20.2363964003592	20.2754840604441	20.1893508603885	20.1462758098881	20.6585229602316	20.6660233597374
2	"sp|Q8BIG7|CMTD1_MOUSE"	16.4215491700052	16.3300606399537	16.4126339699927	16.5307476600152	16.4170512000135	16.3441893300851	16.6478367905615	16.7056475404391
2	"sp|Q8C0P5|COR2A_MOUSE"	18.5387872198976	18.5591201600469	18.5400847401254	18.4581426401254	18.573282489861	18.5790977900768	18.8758571200351	18.8187040900711
2	"sp|Q3U308|CTU2_MOUSE"	18.0724089598802	18.1166785499048	18.0398202201826	18.1091629697814	18.0789025100981	18.1125932700895	18.4815659600633	18.447689810036
2	"sp|Q8K0C4|CP51A_MOUSE"	18.9294254201098	18.8666105801107	18.8899296001066	18.933796739857	19.0022871900872	19.2359596500844	19.9858230406335	20.0007154905158
2	"sp|Q3UHX9|CI114_MOUSE"	18.3196931600963	18.3202775599834	18.3546530001668	18.2958863301903	18.2995124697865	18.4023165700685	18.6047234999146	18.6129683200459
2	"sp|Q6PAC3|DCA13_MOUSE"	18.1820582801743	18.1960172198229	18.1415932700387	18.1953023698711	18.1921517898218	18.3395947000322	18.5286893498668	18.5701745798872
2	"tr|F8WIJ5|F8WIJ5_MOUSE"	15.1035742598611	15.2108747798789	15.1747741201901	15.1315627998843	15.003126400152	15.0312737797886	15.3973981900651	15.2948605500902
2	"sp|Q80Y44|DDX10_MOUSE"	19.6125126999516	19.5019112600663	19.5362296300787	19.5786356099106	19.5203827900859	19.6845654200799	19.9781869205238	19.9660198502033
2	"sp|Q8K363|DDX18_MOUSE"	19.6093349499705	19.4473372799417	19.5650005199763	19.5456783800404	19.441099970016	19.6172095799151	19.8292819199536	19.8374411499987
2	"sp|Q921N6|DDX27_MOUSE"	20.3482296804839	20.1842261804351	20.3035937894766	20.3613069599178	20.2811308802396	20.3163781999043	20.7073382203136	20.7042333999223
2	"sp|Q4FZF3|DDX49_MOUSE"	19.0267019499122	18.8773161699879	19.0358422698956	18.9101621199728	18.9682480501388	19.1795873199263	19.3674108300491	19.4245879000149
