cluster	X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	MM.blue	MM.brown	MM.green	MM.turquoise	MM.yellow
1	"sp|P01027|CO3_MOUSE"	19.75432811002	19.7606759799367	19.699049940025	19.7452316799454	19.6245723400666	19.6186990499776	19.3563479499373	19.182192370108	-0.959618675879017	-0.923045476616045	-0.206040092168848	0.969967980477792	-0.696739329958007
1	"sp|P13634|CAH1_MOUSE"	17.3605471297974	17.3714291996664	17.4125423602193	17.3619050996235	17.0021749402656	16.9340215999342	15.8171907398893	15.8463499699261	-0.984699860349998	-0.95330883366584	-0.226599621755467	0.990492549669644	-0.719346773065369
1	"tr|E9QA15|E9QA15_MOUSE"	15.6113877000982	15.8629418899025	15.7752799901121	15.8362185301133	15.6478987101086	15.7087027300028	15.3209144301581	14.9214629400363	-0.90739399109378	-0.831949412984782	-0.0520617834022978	0.926197275587638	-0.574405816679774
1	"tr|Q99LB4|Q99LB4_MOUSE"	20.4903801198251	20.5290111201401	20.4800329803057	20.4150796904777	20.4558665496459	20.438650499681	20.2115357696665	20.1306955796308	-0.970714164415467	-0.861727774258547	-0.113311425619147	0.959811733396327	-0.566678507958947
1	"sp|P24452|CAPG_MOUSE"	20.3197815796404	20.3400343502571	20.2493688301786	20.1888211005653	20.2560256697297	20.2853572005456	20.0438499001406	19.9491718893828	-0.925295949600829	-0.786719875611435	-0.0539683923400391	0.910178820342892	-0.470358086430596
1	"sp|O08529|CAN2_MOUSE"	17.747927290234	17.7690085198011	17.7203037197277	17.6821850701796	17.7113050896778	17.6732393596757	17.4298564102263	17.5068094002102	-0.971728522776848	-0.879271221692045	-0.186001864201173	0.943080680227938	-0.594527185828477
1	"tr|E9PWH2|E9PWH2_MOUSE"	15.7394531799781	15.8223470599408	15.6991732899467	15.7421387099646	15.7483560698716	15.7235313901134	15.4960354898557	15.4333153900863	-0.969122074377699	-0.841444570487125	-0.0747766349381825	0.947484306062076	-0.533777009753245
1	"sp|A2AIV8|CARD9_MOUSE"	15.1568050100943	15.2859118799916	15.2577236699922	15.1427878901816	15.1389083201281	15.1488519101289	14.7819393601528	14.8668505701342	-0.960491673070842	-0.887118399807006	-0.165575344317735	0.948751480529858	-0.602096951558111
1	"sp|P08074|CBR2_MOUSE"	16.1421227000457	16.0903252500833	16.1727625000046	16.0585004199069	16.0880430299633	16.042568089921	15.6754180000083	15.6745603299853	-0.982018089399921	-0.878999650159705	-0.0898909504655616	0.982061442324328	-0.593318227993342
1	"sp|Q4QRL3|CC88B_MOUSE"	16.7883476298299	16.8823352701675	16.9015111102375	16.8220914395832	16.808471349632	16.9449381803717	16.6367315400963	16.4994721999484	-0.872955577522619	-0.712840768155169	0.167312919011513	0.897720452344775	-0.37019132781732
