X.GN.	X.Pr0B_0h1.	X.ProB_0h2.	X.Pr0B_1h1.	X.Pr0B_1h2.	X.Pr0B_4h1.	X.Pr0B_4h2.	X.Pr0B_16h1.	X.Pr0B_16h2.	a
"sp|A2AIV8|CARD9_MOUSE"	15.1568050100943	15.2859118799916	15.2577236699922	15.1427878901816	15.1389083201281	15.1488519101289	14.7819393601528	14.8668505701342	0.948751480529858
"sp|O70165|FCN1_MOUSE"	14.7939951301398	15.0120839100798	14.9692251800698	14.9450424002025	15.0040978899792	14.8405858200712	14.0032067996436	14.239191810022	0.948663491294069
"tr|E9PWH2|E9PWH2_MOUSE"	15.7394531799781	15.8223470599408	15.6991732899467	15.7421387099646	15.7483560698716	15.7235313901134	15.4960354898557	15.4333153900863	0.947484306062076
"sp|P43430|MCPT8_MOUSE"	17.7132565603315	17.6347971002243	17.66851267987	17.6683456798067	17.7257176097212	17.6849260498802	17.4132461301891	17.3414707604075	0.947433755974657
"sp|Q9D517|PLCC_MOUSE"	16.1714863499193	16.199252870076	16.211848770045	16.2555692400627	16.1353171199178	16.2708064099472	15.9490933599385	15.9230852499959	0.947202674678183
"sp|Q61093|CY24B_MOUSE"	17.9848765600119	17.8521199998905	17.9818336800738	17.925449280285	17.9376395701804	17.9224790600871	17.6824560901283	17.5923549503095	0.946925331507421
"tr|E9PV38|E9PV38_MOUSE"	16.8526630795477	16.8926337897519	16.6960390004403	16.6575881396719	16.4892040600373	16.5006199499608	16.0343746099577	15.8825497499484	0.946787775213693
"sp|Q9QWT9|KIFC1_MOUSE"	19.0826160399974	19.0365586399853	19.058309120031	19.0002801999435	19.0248078100661	19.1066413600652	18.7872213600779	18.752536459984	0.946692958935558
"sp|Q9JJX6|P2RX4_MOUSE"	14.6858732901425	14.6634040897464	14.9097589397943	14.8461927501243	14.5711334000152	14.6940952701857	14.2628846096988	14.2384886099578	0.946298753952396
"sp|Q80V62|FACD2_MOUSE"	19.5528568100884	19.5415081799179	19.5948120699647	19.6526478300059	19.517891569956	19.4873347499381	19.3588619198952	19.2731643999747	0.946070314440991
"sp|O35594|IFT81_MOUSE"	13.8805250702308	13.8793690798428	13.9454983799372	13.7507977504906	13.6899164900342	13.7460478303144	13.4031712400009	13.4201082505213	0.945889889484765
"tr|O08797|O08797_MOUSE"	17.8768075600314	17.8189598600363	17.8786959298134	17.742632729777	17.6871445296892	17.743985859845	17.5078837801879	17.4029773800648	0.944781315228744
"tr|Q91VB8|Q91VB8_MOUSE"	21.425046130217	21.4936327901304	21.5020309101567	21.45544191017	21.3635793300304	21.4292604397458	21.1026498300436	20.7661965003529	0.944258388753722
"sp|Q8R5F7|IFIH1_MOUSE"	16.4024378400355	16.2931156100285	16.3446258800788	16.3037364199705	16.199240349952	16.3371924000693	16.0364390399438	15.8985931600417	0.94415519598767
"sp|P29533|VCAM1_MOUSE"	16.0057728199779	16.0552476998949	16.0628255100877	16.1686232500837	15.7508946198845	15.8322425499648	15.4962460801166	15.3281305399509	0.943899977412825
"sp|Q8BVL9|JKIP1_MOUSE"	19.0572810800891	18.9917109299898	19.0120387200603	18.9705972999186	18.9502393299164	18.8662028501034	18.7133754801359	18.711406729863	0.943200323163867
"sp|P09528|FRIH_MOUSE"	18.906165879966	19.0792982998782	19.1660354300937	19.1550080899487	18.9780756599328	18.7984016799557	18.2331540700852	18.4330447798935	0.943117208140354
"sp|O08529|CAN2_MOUSE"	17.747927290234	17.7690085198011	17.7203037197277	17.6821850701796	17.7113050896778	17.6732393596757	17.4298564102263	17.5068094002102	0.943080680227938
"sp|Q61549|EMR1_MOUSE"	15.7019190600057	15.7792268000813	15.7555121601046	15.7215242601257	15.4484093598638	15.3070062200685	14.9548002802267	14.9094127598665	0.942484942028438
"sp|O89106|FHIT_MOUSE"	16.6942717797774	16.7196767897164	16.772709290394	16.6635713097752	16.6829987506752	16.7907081494059	16.4261700699821	16.3826879000448	0.94244872659882
"sp|P36423|THAS_MOUSE"	16.680376709538	16.8826969201783	16.8069198805452	16.8910407601077	16.616173500413	16.8503375895937	16.2274335299271	16.2832145400825	0.942413227857826
"sp|Q8BMD8|SCMC1_MOUSE"	17.5168404199429	17.6369187601365	17.477637920386	17.5255514700151	17.4415771096744	17.4912038000897	17.1689173901038	17.2056091100269	0.941847095359523
"sp|Q8VDI1|ESIP1_MOUSE"	15.9717496800852	15.9973949799861	15.9960754900165	16.0077566800966	15.8122244400708	15.8197494999808	15.6484185399244	15.5900735600882	0.941683838688822
"sp|Q09014|NCF1_MOUSE"	18.638599249837	18.6049214198377	18.5716795101278	18.6237876800727	18.5044751298348	18.6317410798614	18.380467970179	18.286217600053	0.941635555403938
"sp|Q80YR7|CLSPN_MOUSE"	17.7186692801559	17.7393638600007	17.6707022598738	17.7432323099957	17.7188315000246	17.601187529781	17.451605709829	17.4358279600114	0.941468197668053
"sp|Q6ZQM8|UD17C_MOUSE"	16.1900409000161	16.0637451700239	16.188247659989	16.2211429000619	16.0202553800602	16.2161917599374	15.7955713699948	15.7390829299527	0.94126367857031
"sp|Q9D666|SUN1_MOUSE"	16.8706077505026	16.8286254398801	16.9065009695507	16.9493529101825	16.7763020804899	16.855011450403	16.6416673692985	16.641904960029	0.940413627166625
"sp|Q2KHI9|MCM9_MOUSE"	17.1566362199961	17.1269109502469	17.2722368099085	17.1073605000453	17.2163774598256	17.1495960903765	16.7791468296801	16.8199176996436	0.939467400611825
"sp|P09541|MYL4_MOUSE"	18.9132116298937	18.8302552498805	18.9105504500736	18.8440680400049	18.9313284499748	18.8981119200739	18.5655165901564	18.5912944301008	0.939322335563248
